,Dog Breed,ID Code,Breed Group,Temperament,Weight,Height,Bred For,Life Span,Origin,Country Code,Reference Image ID
151,Spinone Italiano,236,Sporting,"Docile, Friendly, Affectionate, Loyal, Patient, Gentle",61 - 85,22.5 - 27.5,none,10 - 12 years,none,,rk5Eoe5Nm
152,Staffordshire Bull Terrier,238,Terrier,"Reliable, Fearless, Bold, Affectionate, Loyal, Intelligent, Courageous",24 - 38,14 - 16,,12 - 14 years,none,,H1zSie9V7
153,Standard Schnauzer,239,Working,"Trainable, Good-natured, Devoted, Lively, Playful, Intelligent",30 - 50,17.5 - 19.5,"Ratting, guarding",13 - 15 years,none,,tmzeu6ID_
154,Swedish Vallhund,242,Herding,"Fearless, Friendly, Energetic, Alert, Intelligent, Watchful",20 - 30,11.5 - 13.5,none,12 - 14 years,none,,HJ-Dix94Q
155,Thai Ridgeback,243,Hound,"Protective, Loyal, Independent, Intelligent, Loving, Familial",35 - 55,20 - 24,none,10 - 12 years,none,,zv89hR-O8
156,Tibetan Mastiff,244,Working,"Strong Willed, Tenacious, Aloof, Stubborn, Intelligent, Protective",85 - 140,24 - 26,none,10 - 14 years,none,,SkM9sec47
157,Tibetan Spaniel,245,Non-Sporting,"Willful, Aloof, Assertive, Independent, Playful, Intelligent, Happy",9 - 15,10,none,12 - 15 years,none,,Hyjcol947
158,Tibetan Terrier,246,Non-Sporting,"Affectionate, Energetic, Amiable, Reserved, Gentle, Sensitive",20 - 24,14 - 17,"Good luck charms, mascots, watchdogs, herding dogs, and companions",12 - 15 years,none,,6f5n_42mB
159,Toy Fox Terrier,248,Toy,"Friendly, Spirited, Alert, Loyal, Playful, Intelligent",4 - 9,8 - 11,none,12 - 15 years,none,,B17ase9V7
160,Treeing Walker Coonhound,250,Hound,"Clever, Affectionate, Confident, Intelligent, Loving, Trainable",45 - 80,20 - 27,none,10 - 13 years,none,,SkRpsgc47
161,Vizsla,251,Sporting,"Affectionate, Energetic, Loyal, Gentle, Quiet",50 - 65,21 - 24,Pointing and trailing,10 - 14 years,none,,r1o0jx9Em
162,Weimaraner,253,Sporting,"Steady, Aloof, Stubborn, Energetic, Alert, Intelligent, Powerful, Fast",55 - 90,23 - 27,Large game trailing and versatile gundog,12 - 15 years,none,,SyU12l9V7
163,Welsh Springer Spaniel,254,Sporting,"Stubborn, Friendly, Affectionate, Loyal, Playful, Active",35 - 55,17 - 19,Flushing and retrieving birds,12 - 15 years,none,,BJ1gnx5Vm
164,West Highland White Terrier,256,Terrier,"Hardy, Friendly, Alert, Independent, Gay, Active, Courageous",15 - 22,10 - 11,"Fox, badger, vermin hunting",15 - 20 years,none,,Bkdx2g5Em
165,Whippet,257,Hound,"Friendly, Affectionate, Lively, Gentle, Intelligent, Quiet",25 - 35,18 - 22,"Coursing, racing",12 - 15 years,none,,Hyv-ne94m
166,White Shepherd,258,none,"Self-confidence, Aloof, Fearless, Alert, Companionable, Eager",60 - 85,22 - 25,none,12 – 14 years,none,,r14M3e9E7
167,Wire Fox Terrier,259,none,"Fearless, Friendly, Bold, Keen, Alert, Quick",15 - 19,13 - 16,"Vermin hunting, fox bolting",13 – 14 years,none,,SJ6f2g9EQ
168,Wirehaired Pointing Griffon,260,Sporting,"Loyal, Gentle, Vigilant, Trainable, Proud",45 - 70,20 - 24,"Gundog, ""swamp-tromping"", Flushing, pointing, and retrieving water fowl & game birds",12 - 14 years,none,,Bkam2l9Vm
169,Wirehaired Vizsla,261,Sporting,none,45 - 65,21.5 - 25,none,12 - 14 years,none,,r1I4hl5Em
170,Xoloitzcuintli,262,Non-Sporting,"Cheerful, Alert, Companionable, Intelligent, Protective, Calm",9 - 31,10 - 23,none,12 - 14 years,none,,HkNS3gqEm
171,Yorkshire Terrier,264,Toy,"Bold, Independent, Confident, Intelligent, Courageous",4 - 7,8 - 9,Small vermin hunting,12 - 16 years,none,,B12BnxcVQ
