Dog Breed,Breed Group,Temperament
Puli,Herding, Intelligent
Puli,Herding, Faithful
Pumi,Herding,Lively
Pumi,Herding, Reserved
Pumi,Herding, Intelligent
Pumi,Herding, Active
Pumi,Herding, Protective
Pumi,Herding, Vocal
Rat Terrier,Terrier,Affectionate
Rat Terrier,Terrier, Lively
Rat Terrier,Terrier, Inquisitive
Rat Terrier,Terrier, Alert
Rat Terrier,Terrier, Intelligent
Rat Terrier,Terrier, Loving
Redbone Coonhound,Hound,Affectionate
Redbone Coonhound,Hound, Energetic
Redbone Coonhound,Hound, Independent
Redbone Coonhound,Hound, Companionable
Redbone Coonhound,Hound, Familial
Redbone Coonhound,Hound, Unflappable
Rhodesian Ridgeback,Hound,Strong Willed
Rhodesian Ridgeback,Hound, Mischievous
Rhodesian Ridgeback,Hound, Loyal
Rhodesian Ridgeback,Hound, Dignified
Rhodesian Ridgeback,Hound, Sensitive
Rhodesian Ridgeback,Hound, Intelligent
Rottweiler,Working,Steady
Rottweiler,Working, Good-natured
Rottweiler,Working, Fearless
Rottweiler,Working, Devoted
Rottweiler,Working, Alert
Rottweiler,Working, Obedient
Rottweiler,Working, Confident
Rottweiler,Working, Self-assured
Rottweiler,Working, Calm
Rottweiler,Working, Courageous
Russian Toy,Toy,none
Saint Bernard,Working,Friendly
Saint Bernard,Working, Lively
Saint Bernard,Working, Gentle
Saint Bernard,Working, Watchful
Saint Bernard,Working, Calm
Saluki,Hound,Aloof
Saluki,Hound, Reserved
Saluki,Hound, Intelligent
Saluki,Hound, Quiet
Samoyed,Working,Stubborn
Samoyed,Working, Friendly
Samoyed,Working, Sociable
Samoyed,Working, Lively
Samoyed,Working, Alert
Samoyed,Working, Playful
Schipperke,Non-Sporting,Fearless
Schipperke,Non-Sporting, Agile
Schipperke,Non-Sporting, Curious
Schipperke,Non-Sporting, Independent
Schipperke,Non-Sporting, Confident
Schipperke,Non-Sporting, Faithful
Scottish Deerhound,Hound,Docile
Scottish Deerhound,Hound, Friendly
Scottish Deerhound,Hound, Dignified
Scottish Deerhound,Hound, Gentle
Scottish Terrier,Terrier,Feisty
Scottish Terrier,Terrier, Alert
Scottish Terrier,Terrier, Independent
Scottish Terrier,Terrier, Playful
Scottish Terrier,Terrier, Quick
Scottish Terrier,Terrier, Self-assured
Shetland Sheepdog,Herding,Affectionate
Shetland Sheepdog,Herding, Lively
Shetland Sheepdog,Herding, Responsive
Shetland Sheepdog,Herding, Alert
Shetland Sheepdog,Herding, Loyal
Shetland Sheepdog,Herding, Reserved
Shetland Sheepdog,Herding, Playful
Shetland Sheepdog,Herding, Gentle
Shetland Sheepdog,Herding, Intelligent
Shetland Sheepdog,Herding, Active
Shetland Sheepdog,Herding, Trainable
Shetland Sheepdog,Herding, Strong
Shiba Inu,Non-Sporting,Charming
Shiba Inu,Non-Sporting, Fearless
Shiba Inu,Non-Sporting, Keen
Shiba Inu,Non-Sporting, Alert
Shiba Inu,Non-Sporting, Confident
Shiba Inu,Non-Sporting, Faithful
Shih Tzu,Toy,Clever
Shih Tzu,Toy, Spunky
Shih Tzu,Toy, Outgoing
Shih Tzu,Toy, Friendly
Shih Tzu,Toy, Affectionate
Shih Tzu,Toy, Lively
Shih Tzu,Toy, Alert
Shih Tzu,Toy, Loyal
Shih Tzu,Toy, Independent
Shih Tzu,Toy, Playful
Shih Tzu,Toy, Gentle
Shih Tzu,Toy, Intelligent
Shih Tzu,Toy, Happy
Shih Tzu,Toy, Active
Shih Tzu,Toy, Courageous
Shiloh Shepherd,none,Outgoing
Shiloh Shepherd,none, Loyal
Shiloh Shepherd,none, Companionable
Shiloh Shepherd,none, Gentle
Shiloh Shepherd,none, Loving
Shiloh Shepherd,none, Trainable
Siberian Husky,Working,Outgoing
Siberian Husky,Working, Friendly
Siberian Husky,Working, Alert
Siberian Husky,Working, Gentle
Siberian Husky,Working, Intelligent
Silky Terrier,Toy,Friendly
Silky Terrier,Toy, Responsive
Silky Terrier,Toy, Inquisitive
Silky Terrier,Toy, Alert
Silky Terrier,Toy, Quick
Silky Terrier,Toy, Joyful
Smooth Fox Terrier,Terrier,Fearless
Smooth Fox Terrier,Terrier, Affectionate
Smooth Fox Terrier,Terrier, Alert
Smooth Fox Terrier,Terrier, Playful
Smooth Fox Terrier,Terrier, Intelligent
Smooth Fox Terrier,Terrier, Active
Soft Coated Wheaten Terrier,Terrier,Affectionate
Soft Coated Wheaten Terrier,Terrier, Spirited
Soft Coated Wheaten Terrier,Terrier, Energetic
Soft Coated Wheaten Terrier,Terrier, Playful
Soft Coated Wheaten Terrier,Terrier, Intelligent
Soft Coated Wheaten Terrier,Terrier, Faithful
Spanish Water Dog,Sporting,Trainable
Spanish Water Dog,Sporting, Diligent
Spanish Water Dog,Sporting, Affectionate
Spanish Water Dog,Sporting, Loyal
Spanish Water Dog,Sporting, Athletic
Spanish Water Dog,Sporting, Intelligent
Spinone Italiano,Sporting,Docile
Spinone Italiano,Sporting, Friendly
Spinone Italiano,Sporting, Affectionate
Spinone Italiano,Sporting, Loyal
Spinone Italiano,Sporting, Patient
Spinone Italiano,Sporting, Gentle
Staffordshire Bull Terrier,Terrier,Reliable
Staffordshire Bull Terrier,Terrier, Fearless
Staffordshire Bull Terrier,Terrier, Bold
Staffordshire Bull Terrier,Terrier, Affectionate
Staffordshire Bull Terrier,Terrier, Loyal
Staffordshire Bull Terrier,Terrier, Intelligent
Staffordshire Bull Terrier,Terrier, Courageous
Standard Schnauzer,Working,Trainable
Standard Schnauzer,Working, Good-natured
Standard Schnauzer,Working, Devoted
Standard Schnauzer,Working, Lively
Standard Schnauzer,Working, Playful
Standard Schnauzer,Working, Intelligent
Swedish Vallhund,Herding,Fearless
Swedish Vallhund,Herding, Friendly
Swedish Vallhund,Herding, Energetic
Swedish Vallhund,Herding, Alert
Swedish Vallhund,Herding, Intelligent
Swedish Vallhund,Herding, Watchful
Thai Ridgeback,Hound,Protective
Thai Ridgeback,Hound, Loyal
Thai Ridgeback,Hound, Independent
Thai Ridgeback,Hound, Intelligent
Thai Ridgeback,Hound, Loving
Thai Ridgeback,Hound, Familial
Tibetan Mastiff,Working,Strong Willed
Tibetan Mastiff,Working, Tenacious
Tibetan Mastiff,Working, Aloof
Tibetan Mastiff,Working, Stubborn
Tibetan Mastiff,Working, Intelligent
Tibetan Mastiff,Working, Protective
Tibetan Spaniel,Non-Sporting,Willful
Tibetan Spaniel,Non-Sporting, Aloof
Tibetan Spaniel,Non-Sporting, Assertive
Tibetan Spaniel,Non-Sporting, Independent
Tibetan Spaniel,Non-Sporting, Playful
Tibetan Spaniel,Non-Sporting, Intelligent
Tibetan Spaniel,Non-Sporting, Happy
Tibetan Terrier,Non-Sporting,Affectionate
Tibetan Terrier,Non-Sporting, Energetic
Tibetan Terrier,Non-Sporting, Amiable
Tibetan Terrier,Non-Sporting, Reserved
Tibetan Terrier,Non-Sporting, Gentle
Tibetan Terrier,Non-Sporting, Sensitive
Toy Fox Terrier,Toy,Friendly
Toy Fox Terrier,Toy, Spirited
Toy Fox Terrier,Toy, Alert
Toy Fox Terrier,Toy, Loyal
Toy Fox Terrier,Toy, Playful
Toy Fox Terrier,Toy, Intelligent
Treeing Walker Coonhound,Hound,Clever
Treeing Walker Coonhound,Hound, Affectionate
Treeing Walker Coonhound,Hound, Confident
Treeing Walker Coonhound,Hound, Intelligent
Treeing Walker Coonhound,Hound, Loving
Treeing Walker Coonhound,Hound, Trainable
Vizsla,Sporting,Affectionate
Vizsla,Sporting, Energetic
Vizsla,Sporting, Loyal
Vizsla,Sporting, Gentle
Vizsla,Sporting, Quiet
Weimaraner,Sporting,Steady
Weimaraner,Sporting, Aloof
Weimaraner,Sporting, Stubborn
Weimaraner,Sporting, Energetic
Weimaraner,Sporting, Alert
Weimaraner,Sporting, Intelligent
Weimaraner,Sporting, Powerful
Weimaraner,Sporting, Fast
Welsh Springer Spaniel,Sporting,Stubborn
Welsh Springer Spaniel,Sporting, Friendly
Welsh Springer Spaniel,Sporting, Affectionate
Welsh Springer Spaniel,Sporting, Loyal
Welsh Springer Spaniel,Sporting, Playful
Welsh Springer Spaniel,Sporting, Active
West Highland White Terrier,Terrier,Hardy
West Highland White Terrier,Terrier, Friendly
West Highland White Terrier,Terrier, Alert
West Highland White Terrier,Terrier, Independent
West Highland White Terrier,Terrier, Gay
West Highland White Terrier,Terrier, Active
West Highland White Terrier,Terrier, Courageous
Whippet,Hound,Friendly
Whippet,Hound, Affectionate
Whippet,Hound, Lively
Whippet,Hound, Gentle
Whippet,Hound, Intelligent
Whippet,Hound, Quiet
White Shepherd,none,Self-confidence
White Shepherd,none, Aloof
White Shepherd,none, Fearless
White Shepherd,none, Alert
White Shepherd,none, Companionable
White Shepherd,none, Eager
Wire Fox Terrier,none,Fearless
Wire Fox Terrier,none, Friendly
Wire Fox Terrier,none, Bold
Wire Fox Terrier,none, Keen
Wire Fox Terrier,none, Alert
Wire Fox Terrier,none, Quick
Wirehaired Pointing Griffon,Sporting,Loyal
Wirehaired Pointing Griffon,Sporting, Gentle
Wirehaired Pointing Griffon,Sporting, Vigilant
Wirehaired Pointing Griffon,Sporting, Trainable
Wirehaired Pointing Griffon,Sporting, Proud
Wirehaired Vizsla,Sporting,none
Xoloitzcuintli,Non-Sporting,Cheerful
Xoloitzcuintli,Non-Sporting, Alert
Xoloitzcuintli,Non-Sporting, Companionable
Xoloitzcuintli,Non-Sporting, Intelligent
Xoloitzcuintli,Non-Sporting, Protective
Xoloitzcuintli,Non-Sporting, Calm
Yorkshire Terrier,Toy,Bold
Yorkshire Terrier,Toy, Independent
Yorkshire Terrier,Toy, Confident
Yorkshire Terrier,Toy, Intelligent
Yorkshire Terrier,Toy, Courageous
